# File: historical_copper_production.csv
# Title: Historical copper production by country
# Units: tonnes
# Source: Our World in Data (https://ourworldindata.org/metals-minerals) which processes data from USGS - Mineral Commodity Summaries (2024); USGS - Historical Statistics for Mineral and Material Commodities (2023)
# Column types: cnn
# ----------
Entity,Year,production
Albania,1970,6000
Albania,1971,6500
Albania,1972,6700
Albania,1973,7000
Albania,1974,7000
Albania,1975,9000
Albania,1976,10000
Albania,1977,10000
Albania,1978,11500
Albania,1979,9700
Albania,1980,11500
Albania,1981,11500
Albania,1982,14000
Albania,1983,15000
Albania,1984,14100
Albania,1985,10300
Albania,1986,15170
Albania,1987,16227
Albania,1988,17269
Albania,1989,16000
Albania,1990,12250
Albania,1991,8000
Albania,1992,1900
Albania,1993,3400
Albania,1994,2500
Albania,1995,3650
Albania,1996,2630
Albania,1997,324
Albania,1998,2300
Albania,1999,869
Albania,2001,0
Albania,2002,0
Albania,2003,0
Albania,2004,642
Albania,2005,1696
Albania,2006,1140
Albania,2007,2384
Albania,2008,3633
Albania,2009,2600
Albania,2010,2672
Albania,2011,4379
Albania,2012,5691
Albania,2013,5087
Albania,2014,3503
Albania,2015,2106
Albania,2016,218
Albania,2017,0
Albania,2018,2601
Albania,2019,3551
Albania,2020,3070
Albania,2021,5134
Albania,2022,5899
Algeria,1970,574
Algeria,1971,514
Algeria,1972,428
Algeria,1973,353
Algeria,1974,350
Algeria,1975,378
Algeria,1976,400
Algeria,1977,400
Algeria,1978,200
Algeria,1979,200
Algeria,1980,200
Algeria,1981,200
Algeria,1982,200
Algeria,1983,200
Algeria,1984,200
Algeria,1985,200
Algeria,1986,200
Algeria,1987,200
Argentina,1970,461
Argentina,1971,497
Argentina,1972,1125
Argentina,1973,284
Argentina,1974,315
Argentina,1975,380
Argentina,1976,265
Argentina,1977,169
Argentina,1978,319
Argentina,1979,89
Argentina,1980,182
Argentina,1981,80
Argentina,1982,37
Argentina,1983,318
Argentina,1984,223
Argentina,1985,391
Argentina,1986,317
Argentina,1987,379
Argentina,1988,492
Argentina,1989,653
Argentina,1990,357
Argentina,1991,409
Argentina,1997,30421
Argentina,1998,170273
Argentina,1999,210126
Argentina,2000,145197
Argentina,2001,191667
Argentina,2002,204027
Argentina,2003,199020
Argentina,2004,177143
Argentina,2005,187317
Argentina,2006,180144
Argentina,2007,180223
Argentina,2008,156900
Argentina,2009,143084
Argentina,2010,140300
Argentina,2011,116700
Argentina,2012,135700
Argentina,2013,109600
Argentina,2014,102600
Argentina,2015,61800
Argentina,2016,81900
Argentina,2017,33300
Argentina,2018,17400
Argentina,2019,0
Argentina,2020,0
Argentina,2021,0
Argentina,2022,0
Armenia,1992,2000
Armenia,1993,500
Armenia,1994,4900
Armenia,1995,8080
Armenia,1996,9088
Armenia,1997,6770
Armenia,1998,9158
Armenia,1999,9830
Armenia,2000,12234
Armenia,2001,16460
Armenia,2002,16641
Armenia,2003,18068
Armenia,2004,17700
Armenia,2005,16400
Armenia,2006,17930
Armenia,2007,17629
Armenia,2008,18754
Armenia,2009,23233
Armenia,2010,31062
Armenia,2011,33597
Armenia,2012,40908
Armenia,2013,48891
Armenia,2014,50952
Armenia,2015,71957
Armenia,2016,93248
Armenia,2017,102847
Armenia,2018,76166
Armenia,2019,97870
Armenia,2020,90154
Armenia,2021,85912
Armenia,2022,66132
Australia,1970,157790
Australia,1971,177261
Australia,1972,185843
Australia,1973,220335
Australia,1974,251340
Australia,1975,218961
Australia,1976,218480
Australia,1977,221579
Australia,1978,222111
Australia,1979,237614
Australia,1980,243541
Australia,1981,231339
Australia,1982,245322
Australia,1983,261476
Australia,1984,235671
Australia,1985,259765
Australia,1986,248368
Australia,1987,232695
Australia,1988,243800
Australia,1989,296000
Australia,1990,330000
Australia,1991,320000
Australia,1992,378000
Australia,1993,430000
Australia,1994,418000
Australia,1995,379000
Australia,1996,548000
Australia,1997,549000
Australia,1998,619000
Australia,1999,741000
Australia,2000,832000
Australia,2001,896000
Australia,2002,879000
Australia,2003,830000
Australia,2004,854000
Australia,2005,928217
Australia,2006,878874
Australia,2007,862535
Australia,2008,878940
Australia,2009,855892
Australia,2010,871963
Australia,2011,960649
Australia,2012,921390
Australia,2013,1000999
Australia,2014,978534
Australia,2015,995881
Australia,2016,947555
Australia,2017,849121
Australia,2018,910896
Australia,2019,925157
Australia,2020,885000
Australia,2021,813000
Australia,2022,819000
Australia,2023,810000
Austria,1970,2262
Austria,1971,2575
Austria,1972,2231
Austria,1973,2713
Austria,1974,2612
Austria,1975,1923
Austria,1976,1138
Azerbaijan,2009,0
Azerbaijan,2010,183
Azerbaijan,2011,611
Azerbaijan,2012,502
Azerbaijan,2013,327
Azerbaijan,2014,784
Azerbaijan,2015,969
Azerbaijan,2016,1941
Azerbaijan,2017,1991
Azerbaijan,2018,1645
Azerbaijan,2019,2210
Azerbaijan,2020,2591
Azerbaijan,2021,2649
Azerbaijan,2022,2516
Bolivia,1970,8700
Bolivia,1971,7809
Bolivia,1972,8400
Bolivia,1973,7971
Bolivia,1974,7433
Bolivia,1975,5882
Bolivia,1976,4680
Bolivia,1977,3670
Bolivia,1978,3267
Bolivia,1979,1797
Bolivia,1980,1882
Bolivia,1981,2637
Bolivia,1982,2270
Bolivia,1983,1982
Bolivia,1984,1610
Bolivia,1985,1665
Bolivia,1986,338
Bolivia,1992,101
Bolivia,1993,94
Bolivia,1994,79
Bolivia,1995,127
Bolivia,1996,92
Bolivia,1997,182
Bolivia,1998,48
Bolivia,1999,24975
Bolivia,2000,110
Bolivia,2001,18
Bolivia,2002,120
Bolivia,2003,344
Bolivia,2004,576
Bolivia,2005,35
Bolivia,2006,218
Bolivia,2007,606
Bolivia,2008,567
Bolivia,2009,620
Bolivia,2010,2100
Bolivia,2011,4176
Bolivia,2012,8700
Bolivia,2013,7549
Bolivia,2014,10746
Bolivia,2015,9479
Bolivia,2016,8718
Bolivia,2017,7219
Bolivia,2018,5216
Bolivia,2019,4478
Bolivia,2020,2822
Bolivia,2021,3310
Bolivia,2022,3608
Botswana,1973,600
Botswana,1974,2755
Botswana,1975,6504
Botswana,1976,12473
