# File: A23.globaltech_mineral_coef_ratio_reduction.csv
# Title: Electricity sector technology mineral use intensity change ratio. assuming reduce overtime
# Units: unitless
# Description: this is just fake data for now
# Comment: this dataset defines the mineral use intensity reduction in terms of percentage
# Column types: cccnnnnnnnn
# ----------
supplysector,subsector,technology,steel,aluminium,silicon,copper,graphite,lithium,cobalt,nickel,manganese,neodymium,tellurium,vanadium
pv_mineral,pv_mineral,pv_mineral (c-Si),0.7,0.7,0.292,0.292,,,,0.7,,,,
pv_mineral,pv_mineral,pv_mineral (CdTe),0.7,0.7,,0.1,,,,0.7,,,0.35,
pv_mineral,pv_mineral,pv_mineral (CIGS),0.7,0.7,,0.17,,,,,,,,
pv_mineral,pv_mineral,pv_mineral (a-Si),0.7,0.7,0.7,0.7,,,,0.7,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),0.7,0.7,0.292,0.292,,,,0.7,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),0.7,0.7,,0.1,,,,0.7,,,0.35,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),0.7,0.7,,0.17,,,,,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),0.7,0.7,0.7,0.7,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),0.7,0.7,0.292,0.292,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),0.7,0.7,,0.1,,,,0.7,,,0.35,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),0.7,0.7,,0.17,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),0.7,0.7,0.7,0.7,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),0.7,0.7,0.292,0.292,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532),0.7,0.7,,0.1,,,,0.7,,,0.35,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532),0.7,0.7,,0.17,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532),0.7,0.7,0.7,0.7,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),0.7,0.7,0.292,0.292,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811),0.7,0.7,,0.1,,,,0.7,,,0.35,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811),0.7,0.7,,0.17,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811),0.7,0.7,0.7,0.7,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),0.7,0.7,0.292,0.292,,,,0.7,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB),0.7,0.7,,0.1,,,,0.7,,,0.35,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB),0.7,0.7,,0.17,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB),0.7,0.7,0.7,0.7,,,,0.7,,,,
wind_mineral,wind_mineral,wind_mineral (DD-EESG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_mineral,wind_mineral,wind_mineral (DD-PMSG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_mineral,wind_mineral,wind_mineral (GB-PMSG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_mineral,wind_mineral,wind_mineral (GB-DFIG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB),0.7,0.7,,1,,,,0.7,0.7,0.65,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB),0.7,0.7,,1,,,,0.7,0.7,0.65,,
electricity,solar,CSP,0.7,0.7,,0.7,,,,0.7,0.7,,,
electricity,solar,CSP_storage,0.7,0.7,,0.7,,,,0.7,0.7,,,
electricity,coal,coal (conv pul),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,coal,coal (IGCC),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,coal,coal (conv pul CCS),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,coal,coal (IGCC CCS),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,gas,gas (steam/CT),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,gas,gas (CC),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,gas,gas (CC CCS),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,refined liquids,refined liquids (steam/CT),0.7,0.7,,0.7,,,0.7,,0.7,,,
electricity,refined liquids,refined liquids (CC),0.7,0.7,,0.7,,,0.7,,0.7,,,
electricity,refined liquids,refined liquids (CC CCS),0.7,0.7,,0.7,,,0.7,,0.7,,,
electricity,biomass,biomass (conv),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,biomass,biomass (IGCC),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,biomass,biomass (conv CCS),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,biomass,biomass (IGCC CCS),0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,nuclear,Gen_III,0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,nuclear,Gen_II_LWR,0.7,0.7,,0.7,,,0.7,0.7,0.7,,,
electricity,geothermal,geothermal,0.7,0.7,,0.7,,,,0.7,0.7,,,
electricity,hydro,hydro,0.7,0.7,,0.7,,,,,0.7,,,
