# File: IEA_CCUS_Projects_Database_2025.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2025 https://www.iea.org/data-and-statistics/data-product/ccus-projects-database#
# Column types: ciccciiiicncncccc
# ----------
Project name,ID,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning/cancellation,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
East Niigata area CCS (capture sources under evaluation),289,Japan,"JAPEX, Tohoku Electric Power, Mitsubishi Gas Chemical, Hokuetsu, NRI",T&S,2023,,2030,,Planned,,1.5,1.5,T&S,Dedicated storage,East Niigata area CCS,Other Asia Pacific
Norske Skog Saugbrugs (Borg CO2),290,Norway,"Borg Havn, Norske Skog Saugbrugs",Capture,2019,,2035,,Planned,,0.15,0.15,Other industry,Dedicated storage,Northern Lights,Europe
NWR Sturgeon Refinery (ALB),293,Canada,Northwest Redwater Partnership,Capture,2011,2014,2020,,Operational,,1.3,1.3,Other fuel transformation,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB),North America
Northern Endurance Partnership phase 1,294,United Kingdom,"BP, Equinor, TotalEnergies (partners), Worley (technical advisors), Costain (FEED transport)",T&S,2018,2024,2028,,Under construction,1,4,4,T&S,Dedicated storage,Northern Endurance Partnership,Europe
Northern Lights Phase 1,295,Norway,"Shell (33.3%), TotalEnergies (33.3%), Equinor (33.3%)",T&S,2017,2020,2025,,Under construction,1,1.5,1.5,T&S,Dedicated storage,Northern Lights,Europe
Northern Lights Phase 2,296,Norway,"Shell (33.3%), TotalEnergies (33.3%), Equinor (33.3%)",T&S,2017,2025,2028,,Under construction,2,3.7,3.7,T&S,Dedicated storage,Northern Lights,Europe
Northern Plains Nitrogen Blue ammonia (ND),297,United States,"Northern Plains Nitrogen, Summit Carbon Solutions (T&S)",Capture,2013,,,,Planned,,0.5,0.5,Chemicals,Dedicated storage,Midwest carbon express,North America
One Earth Energy ethanol CCS (IL),299,United States,One Earth Energy,Capture,2020,2025,2026,,Planned,,0.45,0.45,Biofuels,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Open Access Wabamun Carbon Hub (ALB),300,Canada,"Enbridge, Capital Power, First Nation Capital Investment Partnership (FNCIP)",T&S,2022,,2026,,Planned,,4,4,T&S,Dedicated storage,Open Access Wabamun Carbon Hub (ALB),North America
Origins project (ALB),301,Canada,Enhance Energy,T&S,2022,,2030,,Planned,,20,20,T&S,Dedicated storage,Origins project (ALB),North America
Hafslund Olso Celsio,302,Norway,"Hafslund Oslo Celsio (formerly Fortum Oslo Varme), Aker Carbon Capture (SLB Capturi)",Capture,2016,2025,2029,,Under construction,,0.35,0.35,Power and heat,Dedicated storage,Northern Lights,Europe
Hanson Padeswood Cement Works CCS,303,United Kingdom,"Heidelberg Materials, Hanson, Mistubishi Heavy Industries (pre-FEED/FEED), Worley (FEED)",Capture,2021,2025,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
PCS Nitrogen Geismar Ammonia plant (LA),304,United States,"Nutrien, ExxonMobil (formerly Denbury carbon solutions)",Capture,2022,2025,2027,2023,Cancelled,,1.2 - 1.8,1.8,Hydrogen or ammonia,Dedicated storage,Denbury Green pipeline /Gemini (LA),North America
PCS Nitrogen-Geismar plant (LA),305,United States,"Nutrien, ExxonMobil (formerly Denbury carbon solutions)",Full chain,2011,2011,2013,,Operational,,0.2 - 0.3,0.3,Chemicals,EOR,,North America
Peterhead Carbon Capture Power Station,307,United Kingdom,"SSE Thermal, Equinor",Capture,2021,2025,2030,,Planned,,1.5,1.5,Power and heat,Dedicated storage,Acorn CCS,Europe
Peterhead Power Station CCS (2011 version),308,United Kingdom,"SSE, Shell",Full chain,2011,,2020,2015,Cancelled,,1 - 1.5,1.5,Power and heat,Dedicated storage,,Europe
Petra Nova Carbon Capture (TX),309,United States,"NRG (equity), JX Nippon (equity), JBIC (debt), Mizhou bank (backed by NEXI)(debt)",Full chain,2009,2014,2016,2020,Operational,,1.4,1.4,Power and heat,EOR,,North America
Petrobras Santos Basin pre-salt oilfield CCS (ES),310,Brazil,Petrobas,Full chain,2011,,2013,,Operational,1,3 - 10.6,10.6,Natural gas processing/LNG,EOR,,Central and South America
Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),311,Malaysia,"Petronas, Technip, National Petroleum Construction Company, Worley (EPC), Kawasaki Heavy Industries, Malaysia Marine and Heavy Engineering Sdn Bhd (Compressor)",Full chain,2020,2022,2025,,Under construction,2,3.3,3.3,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
Phillips 66 Humber refinery,312,United Kingdom,"Phillips 66, Babcock & Wilcox (FEED)",Capture,2021,,2028,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Viking CCS,Europe
Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),313,Canada,Pieridae Energy Ltd.,Full chain,2021,,,,Planned,1,1,1,Power and heat,Dedicated storage,,North America
Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),314,Canada,Pieridae Energy Ltd.,Full chain,2021,,,,Planned,2,2,2,Power and heat,Dedicated storage,,North America
Pine Lake Corn Processors Steamboat Rock biorefinery (IA),315,United States,"Pine Lake Corn Processors, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.19 - 0.23,0.229,Biofuels,Dedicated storage,Midwest carbon express,North America
Plant Daniel Carbon Capture (MS) ,316,United States,"Southern Company Services, Linde/BASF (FEED, tech provider)",Capture,2019,,2026,,Planned,,1.8,1.8,Power and heat,Dedicated storage,Project ECO2S: Early CO2 Storage Complex in Kemper County (MS),North America
Plymouth Energy Merrill biorefinery (IA),317,United States,"Plymouth Energy, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.13 - 0.16,0.157,Biofuels,Dedicated storage,Midwest carbon express,North America
"POET 17 bioprocessing plants (IA, NE, SD)",318,United States,POET,Capture,2021,,2026,,Planned,,5,5,Biofuels,Dedicated storage,Midwest carbon express,North America
ECO2CEE (Poland EU CCS Interconnector) phase 1,319,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2027,,Planned,1,2.5 - 3,2.5,Transport,Dedicated storage,ECO2CEE (Gdansk terminal),Europe
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,320,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2031,,Planned,2,6.5,6.5,Transport,Dedicated storage,ECO2CEE,Europe
Polaris CCS capture (ALB),321,Canada,Shell Canada,Capture,2021,2024,2028,,Under construction,1,0.65,0.65,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Polaris offshore storage facility,322,Norway,"Horisont Energi, PGNiG Upstream Norway (operator)",Storage,2021,2025,2028,,Planned,,8-Apr,8,Storage,Dedicated storage,Polaris offshore storage facility,Europe
Valero Port Arthur Refinery (TX),323,United States,"Air products, ExxonMobil (formerly Denbury carbon solutions)",Full chain,2009,2011,2013,,Operational,,0.9,0.9,Other fuel transformation,EOR,,North America
Porthos offshore transport and storage,325,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, Port of Rotterdam",T&S,2018,2023,2026,,Under construction,1,2.5,2.5,T&S,Dedicated storage,Porthos,Europe
Prairie State Generating Station Carbon Capture (IL),327,United States,"Prairie Research Institute (University of Illinois), Mitsubishi Heavy Industries, Kiewit Engineering Group, Sargent & Lundy",Capture,2019,,2026,,Planned,,5 - 7.5,6.05,Power and heat,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Prax Lindsey Oil Refinery Phase 1,328,United Kingdom,Prax,Capture,2021,,2028,,Planned,1,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS,Europe
Prax Lindsey Oil Refinery Phase 2,329,United Kingdom,Prax,Capture,2021,,2030,,Planned,2,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS,Europe
Preem CCS at Lysekil refinery,330,Sweden,"Preem, Aker solutions, Equinor",Capture,2018,,2026,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Northern Lights,Europe
Project Bifrost Phase 1,331,Denmark," Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",T&S,2021,2027,2030,,Planned,1,3-Feb,3,T&S,Dedicated storage,Project Bifrost,Europe
Project Cavendish Phase 1,332,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2025,2026,,Cancelled,1,1.2,1.2,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe
Project Cavendish Phase 2,333,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2025,2026,,Cancelled,2,1.8,1.8,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe
ECO2S: Early CO2 Storage Complex in Kemper County (MS),334,United States,"Southern States Energy Board, Mississipi Power (Southern Company)",T&S,2017,,,,Planned,,3,3,T&S,Dedicated storage,Project ECO2S: Early CO2 Storage Complex in Kemper County (MS),North America
Greensand Future phase 1,335,Denmark,"INEOS E&P, Wintershell Dea (Harbour Energy), Welltec (storage), Aquaterra Energy (FEED), Royal Wagenborg (ship)",T&S,2020,2024,2026,,Under construction,1,0.4,0.4,T&S,Dedicated storage,Greensand,Europe
Project Greensand phase 2,336,Denmark,"INEOS E&P, Wintershell Dea (Harbour Energy), Welltec (storage)",T&S,2020,,2030,,Planned,2,7.6,7.6,T&S,Dedicated storage,Greensand,Europe
Hereford Ethanol Plant - Carbon Storage Texas I (TX)  (Project Interseqt),337,United States,"White Energy, Occidental",Full chain,2018,,2026,,Planned,,0.35,0.35,Biofuels,Dedicated storage,,North America
Project Interseqt - Plainview Ethanol Plant (TX),338,United States,"White Energy,Occidental",Full chain,2018,,2026,,Planned,,0.35,0.35,Biofuels,EOR,,North America
Project Phoenix ammonia (WY),339,United States,"North Shore Energy, Starwood Energy Group",Full chain,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Project Pouakai Hydrogen Production with CCS,340,New Zealand,"8Rivers, Toshiba, McDermott, Exelon",Full chain,2018,,,,Planned,,1,1,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
Project Tundra at Milton R Young Station (ND),341,United States,Minnkota Power Cooperative Inc.,Capture,2018,2025,2028,,Planned,,3.1 - 4,4,Power and heat,Dedicated storage,North Dakota CarbonSAFE (ND),North America
Banggai ammonia plant Central Sulawesi,342,Indonesia,"JOGMEC, Mitsubishi, PT Panca Amara Utama, ITB, Pertamina",Full chain,2021,,2028,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
PYCASSO hub phase 1 - eastern and western pipeline,343,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Universit  de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2025,2030,,Planned,1,1,1,T&S,Dedicated storage,PYCASSO hub,Europe
Qatar LNG,344,Qatar,"QatarEnergy LNG, ExxonMobil",Full chain,2019,,2019,,Operational,,1.23 - 2.1,2.1,Natural gas processing/LNG,Dedicated storage,,Middle East
Qatar North Field East Project CCS,345,Qatar,QatarEnergy LNG,Full chain,2018,2021,2025,,Under construction,,2.9 - 4.3,4.3,Natural gas processing/LNG,Dedicated storage,,Middle East
Quad County Corn Processors Galva biorefinery (IA),346,United States,"Quad County Corn Processors, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.09 - 0.11,0.109,Biofuels,Dedicated storage,Midwest carbon express,North America
Quest CCS (ALB),347,Canada,"Canadian Natural Resources Limited, Shell Canada, Chevron Canada",Full chain,2009,2012,2015,,Operational,,1 - 1.2,1.1,Other fuel transformation,Dedicated storage,,North America
Ravenna CCS phase 2,349,Italy,"Eni, Snam",T&S,2020,2025,2028,,Planned,1,4,4,T&S,Dedicated storage,Ravenna CCS,Europe
Red Trail Energy BECCS Project (ND),350,United States,"Plains CO2 Reduction Partnership,  Energy & Environmental Research Centre,  Red Trail Energy (acquired by Gevo)",Full chain,2016,2021,2022,,Operational,,0.18,0.18,Biofuels,Dedicated storage,,North America
Redcar Energy Centre EfW,351,United Kingdom,Redcar Energy (Low Carbon Ltd and PMAC Energy joint venture),Capture,2021,2025,2026,,Planned,,0.4,0.4,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Redfield Energy biorefinery (ND),352,United States,"Red River BioRefinery, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.15 - 0.17,0.172,Biofuels,Dedicated storage,Midwest carbon express,North America
CCS Sakakemang,353,Indonesia,"Repsol, Petronas, MOECO",Full chain,2021,2025,2028,,Planned,,0.5,0.5,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
Ringneck Energy & Feed Onida biorefinery (SD),355,United States,"Ringneck Energy, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.19 - 0.23,0.229,Biofuels,Dedicated storage,Midwest carbon express,North America
San Juan Generating Station (NM),357,United States,"Enchant Energy, Farmington Electric Utility System, Mistubishi Heavy Industries (tech)",Capture,2019,,2025,2022,Cancelled,,6,6,Power and heat,Dedicated storage,,North America
Moomba Carbon Capture and Storage,358,Australia,"Santos, Beach Energy",Full chain,2019,2021,2024,,Operational,1,1.7,1.7,Natural gas processing/LNG,Dedicated storage,Moomba CCS storage hub,Australia and New Zealand
Moomba CCS storage hub (phase 2),359,Japan-Australia,"Santos, JX Nippon Oil & Gas Exploration Corporation, ENEOS",T&S,2023,,2030,,Planned,1,3.3,3.3,T&S,Dedicated storage,Moomba CCS storage hub,Australia and New Zealand
SHARC Neste,362,Finland,"Neste
Oyj",Capture,2021,,2025,,Cancelled,,,,Other fuel transformation,Dedicated storage,Northern Lights,Europe
Calpine Deer Park Energy Center (TX),363,United States,Calpine Texas CCUS Holdings,Capture,2021,,,,Planned,,5.6,5.6,Power and heat,Dedicated storage,,North America
Shell Netherlands Refineries biodiesel,364,Netherlands,Shell,Capture,2021,2021,2026,,Cancelled,,0.38,0.38,Biofuels,Dedicated storage,Porthos,Europe
Shell Netherlands Refineries heavy residue gasification CCU,365,Netherlands,Shell,CCU,,,1997,2026,Operational,,0.75,0.75,Other fuel transformation,Use,,Europe
Shell Uniper Humber Hub Blue North Killingholme,366,United Kingdom,"Shell, Uniper",Capture,2022,2025,2027,,Planned,,1.6,1.6,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
Sinopec Nanjing Chemical Industries CCUS Cooperation Project (Jiangsu),369,People's Republic of China,Sinopec,Full chain,2015,,2021,,Operational,,0.2,0.2,Other fuel transformation,EOR,Jiangsu oilfield,Other Asia Pacific
Sinopec Qilu Petrochemical Shengli (Shandong),370,People's Republic of China,"Sinopec, Qilu Petrochemical",Full chain,2012,2021,2022,,Operational,,0.7 - 1,1,Chemicals,EOR,Shengli oilfield,Other Asia Pacific
Sinopec Shengli Power Plant CCS (Shandong),371,People's Republic of China,Sinopec,Full chain,2011,,2030,,Planned,,2-Jan,2,Power and heat,EOR,Shengli oilfield,Other Asia Pacific
Siouxland Energy Cooperative Sioux Center biorefinery (IA),372,United States,"Siouxland Energy Cooperative, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.16 - 0.19,0.186,Biofuels,Dedicated storage,Midwest carbon express,North America
Donghae CCS Project (capture sources under evaluation),373,South Korea, Korea National Oil Corporation and partners,T&S,2022,2025,2026,,Planned,,1.2,1.2,T&S,Dedicated storage,,Other Asia Pacific
Sleipner,374,Norway,"Equinor, Eni",Full chain,1991,,1996,,Operational,,1,1,Natural gas processing/LNG,Dedicated storage,,Europe
Snohvit CO2 capture and storage,375,Norway,"Equinor, Petoro, TotalEnergies, Eni (following acquisition of Neptune Energy), Wintershall Dea (Harbour Energy)",Full chain,2002,2002,2008,,Operational,,0.7,0.7,Natural gas processing/LNG,Dedicated storage,,Europe
South East Australia carbon capture and storage (SEA CCS) hub,376,Australia,"Esso Australia Resources Pty Ltd (ExxonMobil), Woodside energy",T&S,2022,,2026,,Planned,,0.5 - 2,2,T&S,Dedicated storage,Sea CCS hub,Australia and New Zealand
Kwinana Industrial Area CO2 Aggregation Project,377,Australia,Pilot Energy,Capture,2023,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,Cliff Head CCS Project,Australia and New Zealand
South West Hub Project,378,Australia,"Department of Mines, Industry Regulation and Safety (DMIRS)",Storage,2010,,,,Planned,,0.8,0.8,Storage,Dedicated storage,South West Hub Project,Australia and New Zealand
HyNet Hydrogen Production Project (HPP) Plant 1 (Hynet phase 1),379,United Kingdom,"EET Hydrogen (former Vertex Hydrogen, joint venture Essar Oil 90% and progressive energy 10%), ENKA",Capture,2019,2025,2027,,Planned,1,0.65,0.65,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Stockholm Exergi V rtan CHP CCS (BECCS@STHLM),380,Sweden,"Stockolm Exergi, CO2 Capsol (FEED)",Capture,2021,2025,2026,,Under construction,,0.8,0.8,Power and heat,Dedicated storage,Northern Lights,Europe
Northeast Scotland DAC,381,United Kingdom,"Storegga, Carbon Engineering (Oxy), Petrofac Facilities Management (engineering), Universities of Cambridge and Edinburgh.",Capture,2021,,2026,,Cancelled,,0.5 - 1,1,DAC,Dedicated storage,Acorn CCS,Europe
Suez Tees Valley / Haverton Hill Waste to Energy CCS,384,United Kingdom,"Suez, Fluor",Capture,2020,2025,2027,,Planned,,0.24,0.24,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Heartland hydrogen hub (ALB),385,Canada,"Suncor, ATCO",Capture,2021,2025,2028,,Planned,,2,2,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub (alb),North America
Kanata CarbonHub (ALB),386,Canada,"Kanata Clean Power & Climate Technologies Corp, Vault 44.01, Carbonvert Inc., Frog Lake First Nations #121 & #122, Kehewin Cree Nation, Tribal Chiefs Ventures Inc.",Storage,2021,,,,Cancelled,,,,Storage,Dedicated storage,T6-Kanata CarbonHub (ALB),North America
TA ZIZ blue ammonia,387,United Arab Emirates,"TA'ZIZ, Fertiglobe (ADNOC shares sold to Fertiglobe), Mitsui, GS Energy",Full chain,2020,2025,2030,,Planned,,,1.575,Hydrogen or ammonia,Unknown/unspecified,,Middle East
Tangguh LNG EGR ,388,Indonesia,"BP (Mitsubishi, Inpex,  JX  Nippon,  KG  Mitsui,  LNG  Japan,  CNOOC), ITB",Full chain,2021,2024,2028,,Under construction,1,2.5 - 3.3,3.3,Natural gas processing/LNG,EOR,Tangguh CCUS hub,Other Asia Pacific
Terrell Natural Gas Processing Plant (former Val Verde) (TX),389,United States,"Blue Source, Occidental, Chevron",Full chain,,,1972,,Operational,,0.4 - 0.5,0.5,Natural gas processing/LNG,EOR,,North America
Tharaldson Ethanol Casselton biorefinery (ND),390,United States,"Tharaldson Ethanol, Summit Carbon Solutions",Capture,2021,2026,2028,,Planned,,0.43 - 0.5,0.501,Biofuels,Dedicated storage,Midwest carbon express,North America
The ZEROS project Chambers & Liberty County (Jefferson) (TX),391,United States,Texas Water Resources Institute,Capture,2019,,2026,,Planned,,1.5,1.5,Power and heat,EOR,,North America
Gonfreville Raffinerie,392,France,"TotalEnergies, Air Liquide",Capture,2021,,2030,,Planned,,0.5,0.5,Other fuel transformation,Unknown/unspecified,,Europe
Twence Hengelo facility,394,Netherlands,"Twence, Aker Carbon Capture (SLB Capturi)",CCU,2019,2021,2025,,Operational,,0.1,0.1,Power and heat,Use,,Europe
Uthmaniyah CO2-EOR demonstration,395,Saudi Arabia,Saudi Aramco,Full chain,2013,2013,2015,,Operational,,0.8,0.8,Natural gas processing/LNG,EOR and use,,Middle East
V xj  Energi CHP CCS Sandviksverket,396,Sweden,V xj  Energi ,Capture,2021,,2028,,Planned,,0.26,0.26,Power and heat,Dedicated storage,,Europe
Velocys Bayou Fuels (MS),397,United States,"Velocys,Bechtel (FEED)",Capture,2019,,2026,,Planned,,0.3 - 0.5,0.5,Biofuels,EOR,Livingston Parish CO2 sequestration hub (LA),North America
Venture Global LNG Calcasieu Pass CCS (LA),398,United States,Venture Global,Capture,2021,,,,Planned,,0.5,0.5,Natural gas processing/LNG,Unknown/unspecified,Venture Global CCS Cameron (LA),North America
Venture Global LNG CP2 liquefaction facility CCS (LA),399,United States,Venture Global,Capture,2021,,,,Planned,,0.5,0.5,Natural gas processing/LNG,Dedicated storage,Venture Global CCS Cameron (LA),North America
Venture Global LNG Plaquemines CCS (LA),400,United States,Venture Global,Capture,2021,,,,Planned,,,,Natural gas processing/LNG,Unknown/unspecified,Venture Global CCS Cameron (LA),North America
Vestforbr nding's Ejby Glostrup incineration plant,401,Denmark,"Vestforbr nding, Technip (FEED), CIP",Capture,2019,,2026,,Planned,,0.5,0.5,Power and heat,Dedicated storage,,Europe
Viridor Runcorn CCS project,402,United Kingdom,Viridor,Capture,2021,2025,2026,,Planned,,0.9,0.9,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Viking CCS Phase 1,403,United Kingdom,"Harbour Energy (60% operator), BP (40%), kent (engineering provider), Technip energies (FEED transport)",T&S,2020,2025,2027,,Planned,1,3.6,3.6,T&S,Dedicated storage,Viking CCS,Europe
Viking CCS Phase 2,404,United Kingdom,"Harbour Energy (operator), BP (40%), Technip energies (FEED transport)",T&S,2020,,2030,,Planned,2,6.4,6.4,T&S,Dedicated storage,Viking CCS,Europe
VPI Immingham CHP plant CCS,405,United Kingdom,VPI Immingham (Vitol),Capture,2019,,2027,,Planned,,3.3,3.3,Power and heat,Dedicated storage,Viking CCS,Europe
Wabash Valley Resources/Wabash CarbonSAFE (IN),406,United States,"Wabash Valley Resources, Wabash Carbon services, University of Illinois, Illinois State Geological Survey (CarbonSAFE)",Full chain,2016,,2026,,Planned,,1.65,1.65,Chemicals,Dedicated storage,Wabash CarbonSAFE (IN),North America
Nutrien Redwater Fertilizer (ALB) phase 1,407,Canada,Nutrien (formerly Agrium),Capture,2011,2018,2020,,Operational,1,0.3,0.3,Chemicals,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB),North America
Whitetail Clean Energy,408,United Kingdom,"8Rivers, Sembcorp Energy UK",Capture,2021,2025,2025,2023,Cancelled,,0.8,0.8,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Wilhelmshaven Energy Hub BlueHyNow,409,Germany,Wintershall Dea (Harbour Energy),Capture,2022,,2026,,Planned,,1.3,1.3,Hydrogen or ammonia,Dedicated storage,WH2V eng hub,Europe
Yamal LNG,410,Russia,Novatek,Full chain,,,,,Planned,,,,Natural gas processing/LNG,Unknown/unspecified,,Eurasia
Yulin Coal Chemical CCUS (Shaanxi) Phase 1,411,People's Republic of China,Yanchang Petroleum,Full chain,2015,,2022,,Operational,1,0.3,0.3,Other fuel transformation,EOR,Yanchang oilfield,Other Asia Pacific
Zeeland Refinery,412,Netherlands,"Air Liquide, TotalEnergies",Capture,2021,,,2023,Cancelled,,0.8,0.8,Other fuel transformation,Dedicated storage,,Europe
Linde hydrogen plant for OCI fertilizer blue ammonia Beaumont (TX),414,United States,"Woodside Energy (new owner, bought from OCI), Linde (owns, builds, operates), OCI (H2 demand)",Capture,2022,2023,2026,,Under construction,,1.7 - 2.2,2.2,Hydrogen or ammonia,Dedicated storage,Rose carbon capture and storage project (TX),North America
In Salah,415,Algeria,"bp, Sonatrach, Equinor",Full chain,,,2004,2011,Decommissioned,,0.5,0.5,Natural gas processing/LNG,Dedicated storage,,Africa
Climeworks Orca,434,Iceland,"Climeworks, CarbFix",Full chain,2018,2020,2021,,Operational,,0.004,0.004,DAC,Dedicated storage,,Europe
Global thermostat headquarters plant (CO),437,United States,Global Thermostat,Capture,2023,,2023,,Operational,,0.001,0.001,DAC,Vented,,North America
Sizewell C nuclear-powered DAC Full-scale,440,United Kingdom,"Sizewell C,  Nottingham University, Strata Technology, Atkins and Doosan Babcock",Capture,2022,,2030,,Planned,1,0.05,0.05,DAC,Dedicated storage,,Europe
Climeworks Mammoth Project phase 1,441,Iceland,"Climeworks, Carbfix",Full chain,2022,2022,2024,,Operational,1,0.006,0.006,DAC,Dedicated storage,,Europe
Daya Bay CCS Hub phase 1 (Guangdong),442,People's Republic of China,"Shell, ExxonMobil, CNOOC, Guangdong Provincial Development & Reform Commission (JSA)",T&S,2022,,,,Planned,1,2,2,T&S,Dedicated storage,Daya Bay CCS Hub,Other Asia Pacific
Nanhai petrochemical plant-Capture for Daya bay CCS (Guangdong),443,People's Republic of China,Shell,Capture,2022,,,,Planned,,,,Chemicals,Dedicated storage,Daya bay CCS Hub,Other Asia Pacific
Daya Bay CCS Hub phase 2 (Guangdong),444,People's Republic of China,"Shell, CNOOC, Guangdong Provincial Development and Reform Commission, ExxonMobil",T&S,2022,,,,Planned,2,8,8,T&S,Dedicated storage,Daya bay CCS Hub,Other Asia Pacific
Hynet Northwest phase 3,446,United Kingdom,Hynet consortium,Capture,2019,,2030,,Planned,3,8.1,8.1,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Fluxys-Equinor Belgium-Norway Trunk Line ,447,Belgium-Norway,"Fluxys, Equinor, Heidelberg Materials",Transport,2022,2025,2030,,Cancelled,,20 - 40,40,Transport,Dedicated storage,German Carbon Grid,Europe
Pecos County Ultra Clean Fuels Refining (TX),451,United States,MMEX,Capture,2021,,,,Planned,,,,Other fuel transformation,EOR,,North America
Northern Endurance Partnership phase 2,452,United Kingdom,"BP, Equinor, TotalEnergies",T&S,2019,,,,Planned,2,4,4,T&S,Dedicated storage,,Europe
Dos Bocas refinery,453,Mexico,Pemex,Capture,,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,North America
HyDEMO (shelved??),454,Norway,Equinor,Capture,2020,2025,,2022,Cancelled,,0.15,0.15,Hydrogen or ammonia,Dedicated storage,,Europe
H2GE Rostock,455,Germany,"Equinor, VNG",Capture,2022,,2029,,Planned,,1.8,1.8,Hydrogen or ammonia,Dedicated storage,Northern Lights,Europe
CF Industries blue ammonia Donaldsonville (LA),458,United States,"CF Industries, ExxonMobil (storage), EnLink Midstream (transport)",Capture,2020,2021,2025,,Under construction,,2,2,Hydrogen or ammonia,Dedicated storage,ExxonMobil Ascension Parish storage (TX),North America
CF Industries blue ammonia Yazoo (LA),459,United States,"ExxonMobil, CF Industries",Full chain,2020,2024,2028,,Under construction,,0.5,0.5,Hydrogen or ammonia,Dedicated storage,,North America
Northern Endurance Partnership phase 3,460,United Kingdom,"BP, Equinor, TotalEnergies",T&S,2020,,,,Planned,3,2,2,T&S,Dedicated storage,,Europe
MoU ADNOC ENEOS Mitsui Ruwais Industrial Area,463,United Arab Emirates,"ADNOC, ENEOS, Mitsui",Capture,2022,,,,Planned,,0.46,0.46,Chemicals,Unknown/unspecified,,Middle East
Wesfarmers Mitsui WA low-carbon ammonia,464,Australia,"Wesfarmers, Mitsui",Capture,2021,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
Yara Sluiskil fertiliser,465,Netherlands,Yara,Capture,2022,2023,2026,,Under construction,,0.8,0.8,Chemicals,Dedicated storage,Northern Lights,Europe
Project Bison (WY) Phase 1,470,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,,2024,2024,Cancelled,1,0.01,0.01,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
