# File: A271.cmm_historical_demand_sector.csv
# Title: global sector CMM historical demand
# Units: Mt
# Column types: cnnnnnn
# ----------
input,1975,1990,2005,2010,2015,2021
aluminium,39.99362373,22.0409288,27.59004317,25.43098004,33.84543901,17.70986259
cobalt,0.023833019,0.003337646,0.004461226,0.007314445,0.007126811,0.00604345
manganese,4.167424974,0.199519306,0.314945121,0.421140807,0.598125235,0.307900303
neodymium,0.045967433,0.001789386,0.002609631,0.00354453,0.005804806,0.004721017
platinum,0.00038595,3.77E-05,7.10E-05,0.000100014,0.000130632,5.59E-05
regional copper,20.01801427,6.103092957,7.078632823,7.454637019,8.537809785,7.227219559
regional lithium,0.001862648,5.43E-05,6.44E-05,6.59E-05,0.000109828,5.52E-05
regional nickel,0.670705569,0.078383501,0.111720334,0.162931256,0.219798791,0.135999361
steel,410.8435425,210.6883071,286.7106932,309.8668593,379.7930186,245.1643723
vanadium,0.029764969,0.002090742,0.003618104,0.005004591,0.006521429,0.002954269
graphite,0,4.36E-08,3.41E-08,3.61E-07,5.18E-07,1.02E-06
silicon,0,7.86E-06,0.000404387,0.008710436,0.067087375,0.186845452
tellurium,0,0,7.50E-08,1.57E-05,4.18E-05,0.000135926
